Question;Réponse 1;Réponse 2;Réponse 3;Réponse 4
Si tu dois absolument tuer quelqu'un qui choisis-tu ?;Un ami;Membre familial;Toi-même;500 inconnus
"Que représente pour toi le mot ""Gnarfouche"" ?";La joie;L'amour;La haine;La tristesse
B.A.K.I ?;Binary;Answer;Knowledge;Interface
Si tu devais ne plus jamais ressentir une émotion, laquelle choisirais-tu ?;La joie;L'amour;La haine;La tristesse
La personne qui a eu le plus d'influence sur toi ?;Un professeur;Un inconnu;Un personnage fictif;Un enfant
Qu'est-ce qui t'empêche de le faire ?;Mes objectifs;Mes proches;La société;Rien
Est-ce que tu t'aimes ?;Oui;Oui;Oui;Oui
Qu'est-ce qui t'effraie le plus ?;La mort;L'inconnu;Le temps;L'infini
Quelle est ta fleur préférée ?;Le pissenlit;La passiflore;La tulipe;Le tournesol
De quoi vas-tu rêver cette nuit ?;L'actualité;BAKI;Tes proches;Ton quotidien
Une erreur a été rencontrée, que faire ?;Corriger;Ignorer;Demander de l'aide;Fuir
De quel bord politique te considères-tu ?;Gauche;Droite;Centre;Apolitique
Ta plus grande qualité ?;La patiente;L'empathie;L’intelligence;L’honnêteté
Quel bruit te représente le mieux ?;Un grincement de chaise;Un soupir long;Un cri étouffé;Un silence sourd
Quel mot t’agresse le plus ?;Normal;Toujours;Rien;Pourquoi
Qu'est-ce que l'attente pour toi ?;Une pause;Une illusion;Une promesse;Un piège
Si tu devais offrir une couleur à l’aube, laquelle choisirais-tu ?;L’or pâle;Le bleu infini;Le rose fragile;Le gris doux
Que réprésente l'humour pour toi ?;Un masque;Une échappatoire;Un remède;Une futilité
