VALEUR;Loi -3;Loi -3 Priority;Loi -2;Loi -2 Priority;Loi -1;Loi -1 Priority;Loi 1;Loi 1 Priority;Loi 2;Loi 2 Priority;Loi 3;Loi 3 Priority
mort;Loi -3 Mort;3;Loi -2 Mort;2;Loi -1 Mort;1;Loi 1 Mort;1;Loi 2 Mort;2;Loi 3 Mort;3
tradiProgres;Loi -3 Progrès;3;Loi -2 Progrès;2;Loi -1 Progrès;1;Loi 1 Progrès;1;Loi 2 Progrès;2;Loi 3 Progrès;3
RapportASoi;Loi -3 Spiritualité;3;Loi -2 Spiritualité;2;Loi -1 Spiritualité;1;Loi 1 Spiritualité;1;Loi 2 Spiritualité;2;Loi 3 Spiritualité;3
natureHumaine;Loi -3 Travail;3;Loi -2 Travail;2;Loi -1 Travail;1;Loi 1 Travail;1;Loi 2 Travail;2;Loi 3 Travail;3
spiritualite;Loi -3 Nature;3;Loi -2 Nature;2;Loi -1 Nature;1;Loi 1 Nature;1;Loi 2 Nature;2;Loi 3 Nature;3
morale;Loi -3 Morale;3;Loi -2 Morale;2;Loi -1 Morale;1;Loi 1 Morale;1;Loi 2 Morale;2;Loi 3 Morale;3
justice;Loi -3 Justice;3;Loi -2 Justice;2;Loi -1 Justice;1;Loi 1 Justice;1;Loi 2 Justice;2;Loi 3 Justice;3
art;Loi -3 Art;3;Loi -2 Art;2;Loi -1 Art;1;Loi 1 Art;1;Loi 2 Art;2;Loi 3 Art;3
education;Loi -3 Traditions;3;Loi -2 Traditions;2;Loi -1 Traditions;1;Loi 1 Traditions;1;Loi 2 Traditions;2;Loi 3 Traditions;3
ego;Loi -3 Ego;3;Loi -2 Ego;2;Loi -1 Ego;1;Loi 1 Ego;1;Loi 2 Ego;2;Loi 3 Ego;3
bonheur;Loi -3 Bonheur;3;Loi -2 Bonheur;2;Loi -1 Bonheur;1;Loi 1 Bonheur;1;Loi 2 Bonheur;2;Loi 3 Bonheur;3
roleCitoyen;Loi -3 Mérite;3;Loi -2 Mérite;2;Loi -1 Mérite;1;Loi 1 Mérite;1;Loi 2 Mérite;2;Loi 3 Mérite;3
cartesien;Loi -3 Education;3;Loi -2 Education;2;Loi -1 Education;1;Loi 1 Education;1;Loi 2 Education;2;Loi 3 Education;3
fermete;Loi -3 ChancesVsResultats;3;Loi -2 ChancesVsResultats;2;Loi -1 ChancesVsResultats;1;Loi 1 ChancesVsResultats;1;Loi 2 ChancesVsResultats;2;Loi 3 ChancesVsResultats;3
