Question;Valeur;Réponse 1;Réponse 1 incrément;Réponse 2;Réponse 2 incrément
Tu préfères le jour ou la nuit ?;sansCategorie;Jour;15;Nuit;-15
Devenir sourd ou devenir muet ?;chancesVsResultats;Sourd;15;Muet;-15
Mourir aujourd'hui ou mourir demain ?;mort;Aujourd'hui;15;Demain;-15
Sauver un adulte ou un bébé ?;morale;Adulte;15;Bébé;-15
Se téléporter ou lire dans les pensées ?;chancesVsResultats;Se téléporter;15;Lire dans les pensées;-15
Les animaux rêvent quand ils dorment;chancesVsResultats;Oui;15;Non;-15
L'IA pourra penser pour de vrai;progres;Oui;15;Non;-15
On possède un âme;spiritualite;Oui;15;Non;-15
Est-ce que tu me fais confiance ?;sansCategorie;Oui;15;Non;-15
Quel est le pire, remord ou regret ?;sansCategorie;Remord;15;Regret;-15
Tu penses avoir réussi ta vie;sansCategorie;Oui;15;Non;-15
Tu es productif;travail;Oui;15;Non;-15
Tout à un sens;nature;Oui;15;Non;-15
Le libre arbitre existe;nature;Oui;15;Non;-15
Le destin existe;nature;Oui;15;Non;-15
Il y a quelque chose après la mort;spiritualite;Oui;15;Non;-15
Il existe une forme de vérité absolue;nature;Oui;15;Non;-15
L'Homme est bon par nature;morale;Oui;15;Non;-15
La peine de mort peut être justifiée;justice;Oui;15;Non;-15
Chien ou chat ?;sansCategorie;Chien;15;Chat;-15
L'art doit choquer;art;Oui;15;Non;-15
L'art est utile;art;Oui;15;Non;-15
Est-ce que tu t'aimes ?;ego;Oui;15;Non;-15
La technologie nous dépasse;progres;Oui;15;Non;-15
C'était mieux avant;traditions;Oui;15;Non;-15
Tu es souvent nostalgique;sansCategorie;Oui;15;Non;-15
La famille ou les amis ?;sansCategorie;La famille;15;Les amis;-15
Le bonheur est quantifiable;bonheur;Oui;15;Non;-15
Tu te sens plus intelligent que la moyenne;ego;Oui;15;Non;-15
Tu as plus d'égo que la moyenne;ego;Oui;15;Non;-15
Tu te sens compris.e;ego;Oui;15;Non;-15
La réussite ne peut exister qu'au prix de nombreux échecs;merite;Oui;15;Non;-15
Toute pratique peut-être artistique;art;Oui;15;Non;-15
L'art doit-être beau;art;Oui;15;Non;-15
Il y a certaines choses chez moi que je ne pourrais jamais changer;ego;Oui;15;Non;-15
La vie n'a aucun sens;spiritualite;Oui;15;Non;-15
Tout le monde est beau;nature;Oui;15;Non;-15
Tout le monde est intérresant;merite;Oui;15;Non;-15
Le talent existe;nature;Oui;15;Non;-15
Je suis destiné à ressembler à mes parents;ego;Oui;15;Non;-15
Tu pourrais manger ton plat préféré tous les jours;sansCategorie;Oui;15;Non;-15
Tu pourrais survivre plus longtemps que la moyenne sur une île déserte;ego;Oui;15;Non;-15
Tu aimerais devenir célébre;ego;Oui;15;Non;-15
Tu pourrais être heureux.e seul.e;sansCategorie;Oui;15;Non;-15
Tu préfères connaître le grand amour ou devenir ultra riche ?;sansCategorie;Grand amour;15;Richesse;-15
Tu crois en l'âme soeur;sansCategorie;Oui;15;Non;-15
Tu crois au coup de foudre;sansCategorie;Oui;15;Non;-15
L'amour peut-être inconditionnel;morale;Oui;15;Non;-15
Tu préfères perdre tous les souvenirs que tu as des gens que tu aimes ou qu'ils perdent tous leurs souvenirs de toi ?;sansCategorie;Tu perds tes souvenirs;15;Les autres t'oublient;-15
Les animaux ont une conscience;sansCategorie;Oui;15;Non;-15
Parfois, la violence est la meilleure solution;justice;Oui;15;Non;-15
Qui gagne entre un bouledog et un cheval ?;sansCategorie;Oui;15;Non;-15
Toutes les addictions sont néfastes;justice;Oui;15;Non;-15
On naît tous avec un cerveau vierge ?;mort;Oui;15;Non;-15
Il peut-être moral de censurer;mort;Oui;15;Non;-15
Sous une averse, on se prend plus de gouttes en courant ou en marchant ?;mort;Oui;15;Non;-15
La routine te fais peur;mort;Oui;15;Non;-15
La discipline est plus utile que l'intelligence;mort;Oui;15;Non;-15
Il vaut toujours mieux être seul que mal accompagné;mort;Oui;15;Non;-15
Il existe des choses fondamentalement moches;mort;Oui;15;Non;-15
Selon vous l'univers a une fin;mort;Oui;15;Non;-15
Est-ce que tu te sens toi-même ?;mort;Oui;15;Non;-15
l'humanité rentrera en contact avec d'autres formes de vie;mort;Oui;15;Non;-15
Tout le monde est capable de changer;mort;Oui;15;Non;-15
L'Etat te protège;mort;Oui;15;Non;-15
Pourrais tu renoncer à tes valeurs pour sauver quelqu'un qui t'es cher;mort;Oui;15;Non;-15
Il y a forcément des pauvres et des riches dans un système fonctionnel ;mort;Oui;15;Non;-15
Si la technologie le permettait, tu aimerais être cryogénisé;mort;Oui;15;Non;-15
Tu aimerais être immortel;mort;Oui;15;Non;-15
Le suicide est immoral;progres;Oui;15;Non;-15
Existe-t-il une personne vivante dont tu souhaite la mort ?;progres;Oui;15;Non;-15
Si c'était possible, tu aimerais acquérir tout le savoir du monde;progres;Oui;15;Non;-15
Est-ce que le monde irait mieux si tout le monde était exactement comme toi ?;progres;Oui;15;Non;-15
Tu préfèrerais ressembler à tout le monde ou être absolument différent de tout le monde ?;progres;Ressembler à tout le monde;15;Etre différent;-15
plutôt supprimer les llivres ou films ?;progres;Les livres;15;Les films;-15
Tout progrès est bon à prendre;progres;Oui;15;Non;-15
Est-ce tu penses être suffisamment objectif à propos de toi ?;progres;Oui;15;Non;-15
Tu pourrais être heureux sans voyager;progres;Oui;15;Non;-15
Tu penses que tes parents sont fiers de toi;progres;Oui;15;Non;-15
Tes meilleures années sont derrière toi;progres;Oui;15;Non;-15
Le regard des autres te préoccupe;progres;Oui;15;Non;-15
Si une chose est populaire, ça veut dire qu'elle est bien;progres;Oui;15;Non;-15
Voyager dans le passé ou dans le futur ?;progres;Passé;15;Futur;-15
Tu es plus fasciné par l'infiniment petit ou l'infiniment grand ?;progres;Infiniment petit;15;Infiniment grand;-15
Est-ce que tu as un ou plusieurs secrets que tu n'a jamais dit à personne;progres;Oui;15;Non;-15
On a moins de problèmes quand on est enfant;progres;Oui;15;Non;-15
Est-ce que tu te parles tout.e seul.e à voix haute ?;spiritualite;Oui;15;Non;-15
"Qu'est-ce qui est une plus grosse ""tromperie"" : une connexion émotionelle ou une aventure physique ?";spiritualite;Emtionel;15;Physique;-15
Est-ce que tu t'ennuies facilement ?;spiritualite;Oui;15;Non;-15
Tu as déjà trahi quelqu'un d'important pour toi ?;spiritualite;Oui;15;Non;-15
Tu penses te sentir plus souvent coupable que les autres ?;spiritualite;Oui;15;Non;-15
Une bonne hygiène de vie est nécessaire au bonheur;spiritualite;Oui;15;Non;-15
Toute inégalité est injuste;spiritualite;Oui;15;Non;-15
Selon toi, il y a plus d'astres dans la galaxie ou de grains de sable sur terre ?;spiritualite;Galaxie;15;Sable;-15
Il faut aider les personnes qui le souhaitent à mourir;spiritualite;Oui;15;Non;-15
On est jamais mieux servi que par soi-même;spiritualite;Oui;15;Non;-15
Pour prendre une décision, tu a tendance à suivre ton coeur ou à suivre ta tête ?;spiritualite;Ton coeur;15;Ta tête;-15
Tu préfères mourir brûlé.e ou en te noyant ?;travail;Brulé.e;15;Noyade;-15
Tu aimerais vivre sans aucune responsabilité ?;travail;Oui;15;Non;-15
Est-ce que tu aimes les enfants ?;travail;Oui;15;Non;-15
Le progrès scientifique est la boussole de l'humanité;travail;Oui;15;Non;-15
Tout le monde mérite une deuxième chance ?;travail;Oui;15;Non;-15
tu pourrais tenir plus longtemps que la moyenne face à la torture;travail;Oui;15;Non;-15
Il existe un contexte dans lequel tu pourrais tuer quelqu'un;travail;Oui;15;Non;-15
Se remettre avec un.e ex peut être une bonne idée;travail;Oui;15;Non;-15
tu es pessimiste ou optimiste ?;travail;Pessimiste;15;Optimiste;-15
Il est plus important que chacun parte avec les mêmes chances que de garantir que tous arrivent au même niveau;travail;Oui;15;Non;-15
Les politiques de discrimination positive sont nécessaires pour rétablir un équilibre;travail;Oui;15;Non;-15
L'État devrait intervenir pour réduire les écarts de richesse, même si cela freine certains méritants;travail;Oui;15;Non;-15
L'école doit être un moyen de corriger les inégalités de naissance, même si cela demande des traitements inégaux;travail;Oui;15;Non;-15
Tu préfères aider personnellement un proche dans le besoin plutôt que de financer un système qui aide des inconnus.;travail;Oui;15;Non;-15
La sélection par tirage au sort est plus juste que la sélection sur dossier pour la fac;nature;Oui;15;Non;-15
Un revenu universel permettrait une forme d’égalité réelle plus juste que la simple égalité devant la loi;nature;Oui;15;Non;-15
Garantir l'égalité des chances est possible;nature;Oui;15;Non;-15
Des compétitions sportives où le dopage serait autorisé seraient intéressantes ;nature;Oui;15;Non;-15
Tu prèfères savoir comment tu va mourir ou savoir quand tu va mourir ?;nature;Comment;15;Quand;-15
Un bébé pleure toujours pour une raison particulière;nature;Oui;15;Non;-15
La personnalité d'un adulte est la conséquence de ses premières années de vie;nature;Oui;15;Non;-15
Les professeurs sont légitimes à enseigner la morale;nature;Oui;15;Non;-15
Il est parfois bon de mentir à un enfant pour le préserver;nature;Oui;15;Non;-15
En lui présentant les choses de la bonne manière, un enfant peut tout comprendre;nature;Oui;15;Non;-15
Les enfants sont plus honnêtes que les adultes;nature;Oui;15;Non;-15
Il faudrait interdire à certaines personnes de faire des enfants;morale;Oui;15;Non;-15
Un enfant est capable de savoir ce qui est bon pour lui;morale;Oui;15;Non;-15
L'école sert à apprendre son rôle de citoyen;morale;Oui;15;Non;-15
L'école sert à découvrir sa passion;morale;Oui;15;Non;-15
Certains enfants ne sont pas faits pour l'école;morale;Oui;15;Non;-15
Tous les enfants doivent suivre le même programme scolaire jusqu'à un certain âge;morale;Oui;15;Non;-15
Les enfants qui font un bloquage sur des matières scolaires ont eu de mauvais profs;morale;Oui;15;Non;-15
Il est facile de trancher ce qui est de la responsabilité de l'enseignant et ce qui est de la responsabilité des parents;morale;Oui;15;Non;-15
La punition est parfois nécessaire pour éduquer un enfant;morale;Oui;15;Non;-15
Tout enfant a été soit harceleur soit harcelé;morale;Oui;15;Non;-15
Il faudrait revoir les programmes scolaires tous les ans;morale;Oui;15;Non;-15
Les programmes scolaires servent à cristaliser et transmettre les connaissances les plus fondamentales d'une société;morale;Oui;15;Non;-15
Tu aurais ton BAC si tu le repassais aujourd'hui;justice;Oui;15;Non;-15
Les adolescents se spécialisent trop tôt;justice;Oui;15;Non;-15
Ne pas avoir de passion est un désaventage en société;justice;Oui;15;Non;-15
C'est difficile de se faire des amis;justice;Oui;15;Non;-15
Les relations sociales sont complexes;justice;Oui;15;Non;-15
Le hasard existe ;justice;Oui;15;Non;-15
L'école sensibilise suffisament à l'importance de la politique en démocratie;justice;Oui;15;Non;-15
Les jeunes devraient pouvoir voter plus tôt;justice;Oui;15;Non;-15
Les jeunes devraient pouvoir voter plus tard;justice;Oui;15;Non;-15
Le retrait du droit de vote peut être une punition légitime;justice;Oui;15;Non;-15
Les élus devraient avoir obligatoirement un casier judiciaire vierge;justice;Oui;15;Non;-15
Seul les crimes et non les délits devraient empêcher l'exercice de certains métiers;justice;Oui;15;Non;-15
Au vu de l'urgence écologiqe, le nucléaire est la meilleure solution;justice;Oui;15;Non;-15
La préconisation de quatres repas par jour relève plus du poids des lobbys que de conseils médicaux sérieux;art;Oui;15;Non;-15
Si tous les métiers payaient autant, personne ne voudrait faire certains métiers;art;Oui;15;Non;-15
Les élites nous cachent des choses capitales;art;Oui;15;Non;-15
Les relations internationales sont régies par la loi de la jungle;art;Oui;15;Non;-15
Il est complétement naïf de croire en une paix mondiale;art;Oui;15;Non;-15
La mondialisation agie plus au service de la paix que de la guerre;art;Oui;15;Non;-15
Si certaines conditions se réunissent, tu serais prêt à prendre les armes pour ton pays;art;Oui;15;Non;-15
L'humanité apprend de ses erreures;art;Oui;15;Non;-15
Si travailler n'était pas obligatoire pour vivre, tu ne travaillerais pas;art;Oui;15;Non;-15
Peu importe la compétition, il est impossible de garantir une égalité des conditions entre participants;art;Oui;15;Non;-15
Nous stressons plus que nos ancêtres ;art;Oui;15;Non;-15
Le désir de reconnaissance est malsaint ;art;Oui;15;Non;-15
Vivre depuis assez longtemps dans un pays devrait systématiquement justifier l'obtention de la nationalité de celui-ci;art;Oui;15;Non;-15
Les rues sont moins sûres qu'avant;art;Oui;15;Non;-15
Les caméras dans la rue te font sentir plus en sécurité;art;Oui;15;Non;-15
Les patrouilles de police te font sentir plus en sécurité;justice;Oui;15;Non;-15
Tu te sens globalement en sécurité;justice;Oui;15;Non;-15
Il est possible de profondément changer la société en utilisant uniquement les outils démocratiques mis à notre disposition;justice;Oui;15;Non;-15
La consommation de drogue devrait être légale;traditions;Oui;15;Non;-15
Il est possible de trop se remmettre en question;traditions;Oui;15;Non;-15
Tout est politique;traditions;Oui;15;Non;-15
On banalise trop le sexe;traditions;Oui;15;Non;-15
Tu es en mesure de prouver de manière certaine et universelle l'existence matérielle de tous les objets qui t'entourent;traditions;Oui;15;Non;-15
Tu trouverais amusant de réaliser aujourd'hui que tu ne perçois pas le monde matériel comme les autres;traditions;Oui;15;Non;-15
La propriété privée est un droit fondamental;traditions;Oui;15;Non;-15
Tous les humains à qui on donne trop de pouvoir ont des déviances ;traditions;Oui;15;Non;-15
La bière c'est de gauche et le vin c'est de droite;traditions;Oui;15;Non;-15
Le clivage gauche droite est désué;traditions;Oui;15;Non;-15
placée dans un contexte propice, toute personne est un criminel en puissance;traditions;Oui;15;Non;-15
En général, la confiance est quelque chose qu'on acquiert ou qu'on perd ?;traditions;Oui;15;Non;-15
Faire aveuglément confiance à la science relève de la croyance;traditions;Oui;15;Non;-15
La notion de mauvais goût est une notion méprisante;ego;Oui;15;Non;-15
Il existe des sous cultures;ego;Oui;15;Non;-15
La police devrait être désarmée;ego;Oui;15;Non;-15
Les fumeurs  tiennent moins à la vie que les non fumeurs;ego;Oui;15;Non;-15
La consommation de viande ne pose problème que parce qu'elle se fait en masse;ego;Oui;15;Non;-15
Interdire c'est inciter;ego;Oui;15;Non;-15
Faire simle est plus complexe que faire compliqué;ego;Oui;15;Non;-15
La majorité des gens sont idiots;ego;Oui;15;Non;-15
tu crois au karma;ego;Oui;15;Non;-15
Un cancer c'est le résulrat d'un corps malmené qui se désolidarise de son propriétaire;ego;Oui;15;Non;-15
L'humain est plutôt un corps ou plutôt un esprit ?;ego;Un corps;15;Un esprit;-15
Certaines formes de douleurs sont bonnes;bonheur;Oui;15;Non;-15
Chaque sensation corporelle est un message sensé et interprétable;bonheur;Oui;15;Non;-15
Le progrès technique crée plus d'emploi qu'il n'en détruit;bonheur;Oui;15;Non;-15
Les nouveaux riches ont un syndrôme de stockholm ;bonheur;Oui;15;Non;-15
On peut rire de tout;bonheur;Oui;15;Non;-15
On peut débattre de tout;bonheur;Oui;15;Non;-15
100 humains peuvent battre un gorille;bonheur;Oui;15;Non;-15
monter des escaliers fatigue plus que monter une pente;bonheur;Oui;15;Non;-15
dans un trajet qu'est-ce qui passe le plus vite, l'aller ou le retour ?;bonheur;L'aller;15;Le retour;-15
Pouvoir se représenter à des éléctions devrait être impossible;bonheur;Oui;15;Non;-15
Il est possible de changer le plomb en or;bonheur;Oui;15;Non;-15
ne plus jamais pouvoir respirer par la bouche ou par le nez ?;merite;Par la bouche;15;Par le nez;-15
ne plus avoir de genoux ou ne plus avoir de coudes;merite;Plus de genoux;15;Plus de coudes;-15
Les abysses cachent des choses totalement insoupsonnées;merite;Oui;15;Non;-15
C'est quand on s'ennuie que viennent les idées;merite;Oui;15;Non;-15
Savoir raconter les histoires est plus important qu'en avoir des bonnes à raconter;merite;Oui;15;Non;-15
Dans une chanson, la musique est plus importante que les paroles;merite;Oui;15;Non;-15
La culture du vide existe;merite;Oui;15;Non;-15
La maturité est uniquement une question d'âge;merite;Oui;15;Non;-15
Les douleurs émotionnelles sont souvent plus violentes que les douleurs physiques ;merite;Oui;15;Non;-15
"Est-ce que le mot ""toxique"" est sur-utilisé ? ";merite;Oui;15;Non;-15
Quelqu'un qui rit du malheur des autres fait forcément de cette personne quelqu'un d'immoral ;merite;Oui;15;Non;-15
Est-ce que vieillir te fait peur ? ;merite;Oui;15;Non;-15
Est-ce que tu aimerais voir un biopic sur ta vie ?;merite;Oui;15;Non;-15
Est-ce que tu t'es déjà surpris à être condescendant ? ;education;Oui;15;Non;-15
est-ce que tu as le sentiment de mentir plus que la moyenne ?;education;Oui;15;Non;-15
Est-ce qu'il y a des gens en qui tu fais confiance aveuglément ? ;education;Oui;15;Non;-15
tu préferais te réincarner en humain ou en animal ?;education;En humain;15;En animal;-15
quel est le plus agaçant entre quelqu'un qui parle énormément ou quelqu'un qui parle très peu ?;education;Enormément;15;Très peu;-15
Tu peux facilement être vexé;education;Oui;15;Non;-15
Le temps peut guérir toutes les blessures;chancesVsResultats;Oui;15;Non;-15
De manière générale tu privilégie plutôt la fréquence ou l'intensité ?;chancesVsResultats;Fréquence;15;Intensité;-15
Est-ce que tu estimes te connaître à 100% ?;chancesVsResultats;Oui;15;Non;-15
Lampadaire ou boule de bowling ?;chancesVsResultats;Lampadaire;15;Boule de bowling;-15
