Question;Réponse 1;Réponse 2;Réponse 1.1 valeur;R 1.1;Réponse 2.1 valeur;R 2.1;Réponse 1.2 valeur;R 1.2;Réponse 2.2 valeur;R 2.2
Tu préfères le jour ou la nuit ?;Jour;Nuit;capitaliste;15;capitaliste;15;sansCategorie;0;sansCategorie;0
Devenir sourd ou devenir muet ?;Sourd;Muet;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
Mourir aujourd'hui ou mourir demain ?;Aujourd'hui;Demain;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
Sauver un adulte ou un bébé ?;Adulte;Bébé;tradiProgres;0;tradiProgres;0;sansCategorie;0;sansCategorie;0
Se téléporter ou lire dans les pensées ?;Se téléporter;Lire dans les pensées;sansCategorie;0;rapportAuxAutres;0;sansCategorie;0;sansCategorie;0
Les animaux rêvent quand ils dorment;Oui;Non;sansCategorie;0;cartesien;0;sansCategorie;0;sansCategorie;0
L'IA pourra penser pour de vrai;Oui;Non;cartesien;0;natureHumaine;0;sansCategorie;0;sansCategorie;0
On possède un âme;Oui;Non;spiritualite;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
Est-ce que tu me fais confiance ?;Oui;Non;cartesien;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
Quel est le pire, remord ou regret ?;Remord;Regret;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
Tu penses avoir réussi ta vie;Oui;Non;ego;0;capitaliste;0;spiritualite;0;sansCategorie;0
Tu es productif;Oui;Non;capitaliste;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
Tout à un sens;Oui;Non;cartesien;0;spiritualite;0;sansCategorie;0;sansCategorie;0
Le libre arbitre existe;Oui;Non;sansCategorie;0;deterministe;0;sansCategorie;0;sansCategorie;0
Le destin existe;Oui;Non;deterministe;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
Il y a quelque chose après la mort;Oui;Non;spiritualite;0;cartesien;0;sansCategorie;0;sansCategorie;0
Il existe une forme de vérité absolue;Oui;Non;spiritualite;0;sansCategorie;0;cartesien;0;sansCategorie;0
L'Homme est bon par nature;Oui;Non;natureHumaine;0;natureHumaine;0;fermete;0;fermete;0
La peine de mort peut être justifiée;Oui;Non;fermete;0;fermete;0;sansCategorie;0;sansCategorie;0
Chien ou chat ?;Chien;Chat;rapportAuxAutres;0;independance;0;sansCategorie;0;sansCategorie;0
L'art doit choquer;Oui;Non;art;0;art;0;sansCategorie;0;sansCategorie;0
L'art est utile;Oui;Non;art;0;art;0;sansCategorie;0;sansCategorie;0
Est-ce que tu t'aimes ?;Oui;Non;ego;0;ego;0;sansCategorie;0;sansCategorie;0
La technologie nous dépasse;Oui;Non;cartesien;0;cartesien;0;sansCategorie;0;sansCategorie;0
C'était mieux avant;Oui;Non;tradiProgres;0;tradiProgres;0;sansCategorie;0;sansCategorie;0
Tu es souvent nostalgique;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
La famille ou les amis ?;La famille;Les amis;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0
Le bonheur est quantifiable;Oui;Non;cartesien;0;spiritualite;0;sansCategorie;0;sansCategorie;0
Tu te sens plus intelligent que la moyenne;Oui;Non;ego;0;ego;0;sansCategorie;0;sansCategorie;0
Tu as plus d'égo que la moyenne;Oui;Non;ego;0;ego;0;sansCategorie;0;sansCategorie;0
Tu te sens compris.e;Oui;Non;rapportAuxAutres;0;rapportAuxAutres;0;bonheur;0;bonheur;0
La réussite ne peut exister qu'au prix de nombreux échecs;Oui;Non;capitaliste;0;capitaliste;0;sansCategorie;0;sansCategorie;0
Toute pratique peut-être artistique;Oui;Non;art;0;art;0;sansCategorie;0;sansCategorie;0
L'art doit-être beau;Oui;Non;art;0;art;0;sansCategorie;0;sansCategorie;0
